UTTARKASHI  EARTHQUAKE, OCT 20,1991 02:53 IST                      
      91.0011.T station: UTTARKASHI      30 44 N 78 27 E comp: N75E             
 INST.FREQ= 25.50Hz  DAMPING=0.65 Band-Pass FILTER 0.17-0.20 Hz & 25.0-27.0 Hz  
Initial Velocity =     -.6300E-02 m/s Initial Displacement =   -.1480      mm
Peak Acceleration =        3.0400    m/s/s at    5.900  sec
 1996 Acceleration data points (in m/s/s) at .020 sec
-.360E-01 0.765E-01 0.124E+00 0.186E-01 -.180E+00 -.123E+00 0.132E+00 0.115E+00
-.706E-01 -.625E-01 -.457E-01 -.599E-01 0.689E-02 0.109E+00 0.766E-01 -.159E-01
0.319E-01 0.838E-01 0.515E-01 -.689E-01 -.113E+00 0.608E-02 0.133E+00 0.804E-01
-.334E-01 -.490E-02 0.524E-01 -.389E-01 -.447E-01 0.146E+00 0.123E+00 -.119E+00
-.427E-01 0.126E+00 -.544E-01 -.206E+00 -.235E+00 -.704E-01 0.161E+00 0.170E+00
0.163E+00 0.712E-01 -.165E+00 -.200E+00 -.111E-01 0.147E+00 0.240E+00 0.438E-01
-.996E-01 -.168E+00 -.959E-01 0.110E+00 0.157E+00 0.423E-01 0.325E-01 -.125E+00
-.978E-01 0.132E+00 0.282E+00 0.169E+00 0.859E-02 -.955E-01 -.145E+00 -.165E+00
-.754E-01 0.125E+00 0.199E+00 -.512E-02 -.224E+00 -.263E+00 -.539E-01 0.198E+00
0.107E+00 -.191E+00 -.250E+00 -.106E+00 0.654E-01 0.444E-01 -.141E+00 -.228E+00
-.428E-01 0.183E+00 0.349E+00 0.413E+00 0.116E+00 -.175E+00 -.100E+00 0.931E-01
-.910E-01 -.232E+00 -.110E+00 -.388E-01 0.104E+00 0.284E+00 0.200E+00 0.155E+00
0.213E+00 0.294E-01 -.262E+00 -.303E+00 -.127E+00 0.346E-01 -.764E-01 -.204E+00
-.217E+00 -.103E+00 -.417E-01 0.302E-01 0.293E+00 0.328E+00 -.985E-01 -.321E+00
-.354E-01 0.364E+00 0.236E+00 -.138E+00 -.258E+00 -.202E+00 -.188E+00 -.839E-01
0.318E+00 0.213E+00 -.135E+00 -.280E+00 -.109E+00 0.264E+00 0.348E+00 0.392E+00
